,w,Tx,Data Queue,Prediction,Analysis,Model Type
315,50,1,2.173,27.85,0.060000000000000005,Original
316,50,1,1.9680000000000002,25.443,0.06499999999999999,Original
317,50,1,2.009,26.789,0.061,Original
318,50,1,1.9680000000000002,26.145000000000003,0.061,Original
319,50,1,1.9689999999999999,25.561,0.060000000000000005,Original
320,50,1,2.1350000000000002,32.617,0.068,Original
321,50,1,2.341,28.101999999999997,0.061,Original
322,50,1,2.0,25.423000000000002,0.060000000000000005,Original
323,50,1,1.9369999999999998,25.932,0.061,Original
324,50,1,1.9689999999999999,25.921,0.062,Original
325,50,1,1.971,25.943,0.059,Original
326,50,1,1.952,26.308999999999997,0.062,Original
327,50,1,1.96,26.766000000000002,0.062,Original
328,50,1,2.248,31.993000000000002,0.077,Original
329,50,1,2.3770000000000002,27.048,0.058,Original
330,50,1,1.935,25.963,0.061,Original
331,50,1,1.971,26.448,0.061,Original
332,50,1,1.9620000000000002,26.061,0.08,Original
333,50,1,2.1380000000000003,27.029999999999998,0.061,Original
334,50,1,2.2079999999999997,29.03,0.06899999999999999,Original
335,50,1,2.355,27.793000000000003,0.062,Original
336,50,1,1.997,31.167,0.07200000000000001,Original
337,50,1,2.315,28.233999999999998,0.074,Original
338,50,1,2.398,28.362,0.063,Original
339,50,1,2.284,25.698999999999998,0.062,Original
340,50,1,1.965,26.053,0.061,Original
341,50,1,1.97,27.529999999999998,0.111,Original
342,50,1,2.65,28.773,0.09899999999999999,Original
343,50,1,2.111,27.109,0.06499999999999999,Original
344,50,1,2.02,34.043,0.073,Original
345,50,1,2.395,27.957,0.059,Original
346,50,1,1.934,25.424,0.059,Original
347,50,1,1.928,27.312,0.062,Original
348,50,1,2.185,25.186,0.096,Original
349,50,1,1.9629999999999999,24.395,0.059,Original
350,50,1,1.925,26.092000000000002,0.062,Original
351,50,1,1.9269999999999998,25.343999999999998,0.062,Original
352,50,1,1.932,30.369,0.061,Original
353,50,1,2.1189999999999998,25.903,0.058,Original
354,50,1,1.899,26.191,0.061,Original
355,50,1,1.943,26.965,0.060000000000000005,Original
356,50,1,1.977,24.590999999999998,0.058,Original
357,50,1,1.9300000000000002,25.891000000000002,0.059,Original
358,50,1,1.911,25.575,0.060000000000000005,Original
359,50,1,1.954,25.892,0.060000000000000005,Original
360,50,1,2.258,30.125,0.06899999999999999,Original
361,50,1,2.356,27.807,0.07100000000000001,Original
362,50,1,2.317,28.434,0.062,Original
363,50,1,1.9559999999999997,24.991,0.060000000000000005,Original
364,50,1,1.9120000000000001,25.838,0.060000000000000005,Original
365,50,1,1.952,27.771,0.06499999999999999,Original
366,50,1,2.2920000000000003,26.058,0.060000000000000005,Original
367,50,1,2.555,24.427999999999997,0.059,Original
